image,method,tp,fp,fn,tn,iou,dice,precision,recall,specificity,accuracy
111212-1,Otsu,1166,8915,22,55433,0.11541126398975145,0.2069393912573703,0.11566312866664355,0.9814814814830403,0.8614564555233085,0.8636322021486456
111212-1,Adaptive,1138,21836,50,42512,0.049426685202182824,0.09419750021068538,0.04953425611974609,0.9579124579160007,0.660657673898706,0.6660461425786346
111212-1,Canny,899,15353,289,48995,0.05434979747866302,0.10309633028037216,0.05531626877273371,0.7567340067544835,0.7614067259281385,0.7613220214847392
111212-1,Blackhat,1167,8035,21,56313,0.12653149735306807,0.22463907604211125,0.12682025647547468,0.9823232323247203,0.8751320942377772,0.8770751953126875
111212-1,UNet_no_TAFE,1177,1855,11,62493,0.386789352632705,0.5578199052237484,0.38819261215738154,0.9907407407415202,0.9711723752098416,0.9715270996094184
111212-1,TAFE_channel,1106,684,82,63664,0.5908119658338241,0.7427803895318073,0.6178770949934147,0.930976430982241,0.9893702989992084,0.9883117675781429
111212-1,TAFE_spatial,1145,963,43,63385,0.5323105532527983,0.6947815534073185,0.5431688804770793,0.9638047138077606,0.9850344999067803,0.9846496582031484
111212-1,TAFE_full,1074,422,114,63926,0.6670807453622931,0.800298062600585,0.7179144385215298,0.9040404040484814,0.9934419096164707,0.9918212890625124
11125-1,Otsu,2862,20044,35,42595,0.1247548058100137,0.22183467039018007,0.12494542914902232,0.9879185364174001,0.6800076629580932,0.69361877441453
11125-1,Adaptive,2809,19173,88,43466,0.12727684640177944,0.22581293460659263,0.12778637067087714,0.9696237487066061,0.6939127380710198,0.7061004638676359
11125-1,Canny,2570,9541,327,53098,0.20662485930851723,0.34248400853316574,0.21220378169257528,0.8871246116711382,0.8476827535563344,0.8494262695314797
11125-1,Blackhat,2803,5806,94,56833,0.32207284845085515,0.4872240570181885,0.3255894993689674,0.9675526406638746,0.9073101422437981,0.9099731445313873
11125-1,UNet_no_TAFE,2387,779,510,61860,0.6493471164404421,0.7873989774074319,0.7539481996287445,0.8239558163678303,0.9875636584236857,0.9803314208984675
11125-1,TAFE_channel,1938,211,959,62428,0.6235521235642358,0.7681331747965094,0.9018147975848388,0.6689678978367634,0.9966314915627698,0.9821472167969022
11125-1,TAFE_spatial,2181,288,716,62351,0.6847723704965535,0.8128960119304343,0.8833535844518691,0.7528477735673853,0.9954022254506052,0.9846801757812734
11125-1,TAFE_full,1876,134,1021,62505,0.6189376443543736,0.7646219686210592,0.9333333333366501,0.6475664480618721,0.9978607576749343,0.9823760986328394
11125-2,Otsu,2913,21077,47,41499,0.1211881682442851,0.21617810760958744,0.1214255940011612,0.9841216216221581,0.6631775760680402,0.6776733398442418
11125-2,Adaptive,2874,17969,86,44607,0.137321420043302,0.24148216611670173,0.13788801996287536,0.9709459459469275,0.7128451802612618,0.7245025634769828
11125-2,Canny,2165,4075,795,58501,0.30774697939861057,0.4706521739187972,0.34695512821559366,0.7314189189279926,0.9348791869088231,0.9256896972657384
11125-2,Blackhat,2663,1074,297,61502,0.660138820038172,0.7952814693176754,0.7126036928094032,0.899662162165552,0.9828368703656628,0.9790802001953445
11125-2,UNet_no_TAFE,2081,284,879,62292,0.6414919852145039,0.7815962441355568,0.879915433408883,0.703040540550573,0.9954615187931548,0.9822540283203396
11125-2,TAFE_channel,1932,136,1028,62440,0.6240310077640817,0.768496420052337,0.9342359767923485,0.6527027027144358,0.9978266428023558,0.9822387695312771
11125-2,TAFE_spatial,1945,121,1015,62455,0.631288542692915,0.7739753282973741,0.9414327202351679,0.6570945946061792,0.9980663513168019,0.9826660156250264
11125-2,TAFE_full,1824,67,1136,62509,0.6025768087346358,0.7520098948721499,0.964569011107109,0.616216216229182,0.9989293019688077,0.9816436767578405
11125-3,Otsu,2661,16501,88,46286,0.13823376623824293,0.24289169823721923,0.13886859409696864,0.9679883594045839,0.7371908197561005,0.7468719482425737
11125-3,Adaptive,2689,16566,60,46221,0.13921822418255644,0.24441010725666054,0.13965203843604437,0.9781738814122163,0.7361555736064215,0.7463073730472621
11125-3,Canny,2272,5170,477,57617,0.2869049122453983,0.44588362280987254,0.30529427574166496,0.8264823572271196,0.9176581139409151,0.913833618164194
11125-3,Blackhat,2476,3548,273,59239,0.39320311260293467,0.5644591359903742,0.4110225763709989,0.9006911604255842,0.9434914870913669,0.9416961669922764
11125-3,UNet_no_TAFE,1820,781,929,62006,0.5155807365576324,0.6803738317816752,0.6997308727527978,0.6620589305324824,0.9875611193400106,0.9739074707031649
11125-3,TAFE_channel,1622,401,1127,62386,0.5149206349360343,0.6797988264945558,0.8017795353533476,0.5900327391927962,0.9936133275996725,0.9766845703125355
11125-3,TAFE_spatial,1739,456,1010,62331,0.5425897036024153,0.7034789644072921,0.7922551252942026,0.6325936704389745,0.9927373500884057,0.9776306152344091
11125-3,TAFE_full,1608,318,1141,62469,0.5242908379679071,0.6879144385093494,0.8348909657406599,0.58493997818898,0.9949352572984934,0.9777374267578465
11129,Otsu,2056,22908,15,40557,0.0823091396810028,0.15209913075956316,0.0823585963824613,0.9927571221635559,0.6390451429927692,0.6502227783208462
11129,Adaptive,2006,21127,65,42338,0.08647297181185243,0.15918108237121414,0.08671594691960959,0.9686141960420757,0.6671078547236002,0.6766357421879934
11129,Canny,1803,13156,268,50309,0.1184080908969698,0.2117439812142587,0.12052944716143774,0.8705939159888657,0.792704640353277,0.7951660156253125
11129,Blackhat,2031,11186,40,52279,0.15320208192537374,0.26569858713196165,0.15366573353140905,0.9806856591028159,0.8237453714648645,0.8287048339846363
11129,UNet_no_TAFE,1363,353,708,63112,0.5622937293909945,0.719831000799582,0.7942890443010321,0.658136166119839,0.9944378791459947,0.9838104248047123
11129,TAFE_channel,1231,152,840,63313,0.5537561853552068,0.7127967573910597,0.8900939985618154,0.594398841159131,0.9976049791223547,0.9848632812500231
11129,TAFE_spatial,1246,152,825,63313,0.5605038236814889,0.7183626405385309,0.8912732475042008,0.6016417189955751,0.9976049791223547,0.9850921630859603
11129,TAFE_full,1130,95,941,63370,0.5216989843249448,0.6856796116600219,0.9224489795981674,0.5456301303937408,0.9985031119514717,0.9841918945312741
11142-1,Otsu,1457,27484,2,36593,0.05034032408855219,0.09585526316086888,0.050343802912648686,0.9986291980809713,0.5710785461248638,0.5805969238287649
11142-1,Adaptive,1446,24932,13,39145,0.05479140616477287,0.10389050544561593,0.05481840928404421,0.9910897875263133,0.6109056291655182,0.6193695068365183
11142-1,Canny,1405,34261,54,29816,0.03933370660963233,0.07569023569272541,0.039393259689790294,0.9629883481862243,0.46531516768970876,0.47639465332111147
11142-1,Blackhat,1458,22219,1,41858,0.06157614663796952,0.11600891152484082,0.06157874731147705,0.9993145990404856,0.6532453142318566,0.6609497070317674
11142-1,UNet_no_TAFE,1362,1407,97,62670,0.4752267969478288,0.6442762535561902,0.4918743228785889,0.9335161069271065,0.9780420431668492,0.977050781250035
11142-1,TAFE_channel,1011,146,448,63931,0.6299065420791335,0.7729357798251937,0.8738115816876566,0.692940370137564,0.9977214913307463,0.9909362792968889
11142-1,TAFE_spatial,1213,403,246,63674,0.6514500537244119,0.7889430894377579,0.7506188118966202,0.831391363959466,0.9937106918239091,0.9900970458984526
11142-1,TAFE_full,1035,153,424,63924,0.6420595533720806,0.7820173781721943,0.871212121222962,0.7093899931659089,0.9976122477644122,0.9911956787109509
11142-2,Otsu,1375,25544,2,38615,0.051075368674822354,0.09718688154121717,0.05107916341969955,0.9985475671751236,0.6018641188304028,0.6101989746099697
11142-2,Adaptive,1372,24400,5,39759,0.05322574388387623,0.10107186268701951,0.053236070157328744,0.9963689179378091,0.6196948206804662,0.6276092529302557
11142-2,Canny,1322,31548,55,32611,0.040151860291449806,0.07720384267504539,0.040219044724550596,0.9600580973159,0.508284106673252,0.5177764892585484
11142-2,Blackhat,1375,20610,2,43549,0.06253695365869588,0.11771252461639536,0.06254264271520335,0.9985475671751236,0.6787668136977216,0.68548583984423
11142-2,UNet_no_TAFE,1274,1139,103,63020,0.5063593004965676,0.6722955145205199,0.5279734770191474,0.9251997095188671,0.9822472295391415,0.9810485839844039
11142-2,TAFE_channel,1012,198,365,63961,0.6425396825623784,0.7823734054973958,0.8363636363771599,0.7349310094600631,0.996913916987489,0.9914093017578256
11142-2,TAFE_spatial,1136,364,241,63795,0.652498564063613,0.7897115050472815,0.7573333333495111,0.8249818446023979,0.9943265948658889,0.9907684326172016
11142-2,TAFE_full,978,196,399,63963,0.621741894493214,0.7667581340742158,0.8330494037620911,0.7102396514371648,0.996945089543171,0.9909210205078264
11169-1,Otsu,1599,27854,36,36047,0.0542236088064898,0.10286927432095062,0.05428988558362717,0.9779816513774935,0.5641069779822474,0.5744323730475244
11169-1,Adaptive,1550,23006,85,40895,0.06290329126633293,0.11836126914161978,0.06312102948744454,0.9480122324190818,0.6399743353004804,0.6476593017583502
11169-1,Canny,1192,32344,443,31557,0.035080490894272696,0.06778311677499137,0.03554389313264688,0.7290519877841558,0.4938420369016231,0.4997100830085759
11169-1,Blackhat,1622,14649,13,49252,0.09960697617845979,0.18116832347156722,0.09968655891402073,0.9920489296640949,0.7707547612717004,0.7762756347659664
11169-1,UNet_no_TAFE,1620,1891,15,62010,0.4594441293403448,0.6296152351412823,0.46140700656618044,0.9908256880739557,0.9704073488678262,0.9709167480469194
11169-1,TAFE_channel,1447,349,188,63552,0.7293346774329973,0.8434858641841012,0.8056792873159422,0.8850152905269104,0.9945384266286998,0.99180603027345
11169-1,TAFE_spatial,1564,1125,71,62776,0.5666666666823672,0.7234042553255456,0.5816288583271987,0.9565749235500566,0.9823946417114249,0.9817504882812779
11169-1,TAFE_full,1361,195,274,63706,0.7437158470085401,0.8530241303712621,0.8746786632471286,0.8324159021509225,0.9969484045633137,0.9928436279296984
11169-2,Otsu,1919,23347,45,40225,0.07581683853235424,0.14094748439536925,0.07595187208471482,0.977087576375912,0.6327471213747676,0.6430664062505447
11169-2,Adaptive,1842,24284,122,39288,0.07017677537690424,0.1311498754035915,0.07050447830103918,0.9378818737302504,0.6180079280192254,0.6275939941411932
11169-2,Canny,1300,40517,664,23055,0.030601916153031705,0.059386491859346774,0.031087835093308733,0.6619144603023466,0.3626596614871914,0.37162780761814634
11169-2,Blackhat,1912,12086,52,51486,0.1360854092588179,0.23956897632352103,0.13659094156924853,0.9735234215899428,0.8098848549678949,0.8147888183596577
11169-2,UNet_no_TAFE,1948,1843,16,61729,0.5116889939713242,0.6769765421428848,0.5138485887756833,0.9918533604892131,0.9710092493551076,0.9716339111328558
11169-2,TAFE_channel,1725,229,239,63343,0.7865937072600734,0.8805513016875817,0.8828045035883928,0.8783095723076217,0.9963977851884535,0.9928588867187609
11169-2,TAFE_spatial,1875,773,89,62799,0.6850566313596984,0.8130962706024915,0.7080815710080031,0.9546843177212483,0.9878405587365698,0.9868469238281451
11169-2,TAFE_full,1627,106,337,63466,0.78599033817459,0.8801731133383778,0.938834391232612,0.8284114053040523,0.9983325992575374,0.9932403564453228
11171,Otsu,1336,4733,429,59038,0.20560172361948906,0.34107735512712434,0.22013511288152687,0.7569405099287853,0.9257813112544483,0.9212341308594952
11171,Adaptive,1640,16691,125,47080,0.08885999133566938,0.16321656051371805,0.0894659320326798,0.92917847025897,0.7382666102150848,0.7434082031253916
11171,Canny,1375,4498,390,59273,0.2195433498448101,0.3600418957926153,0.234122254397512,0.7790368272079866,0.9294663718619287,0.9254150390626138
11171,Blackhat,1653,2734,112,61037,0.36741498112097326,0.5373862158722792,0.3767950763761843,0.9365439093520371,0.9571278480814835,0.9565734863281913
11171,UNet_no_TAFE,1061,2612,704,61159,0.24240347271550372,0.39021699155222106,0.28886468828508405,0.6011331444985194,0.9590409433755798,0.9494018554688272
11171,TAFE_channel,784,851,981,62920,0.29969418962921657,0.46117647060408307,0.4795107033957485,0.444192634592397,0.9866553762682306,0.9720458984375426
11171,TAFE_spatial,933,1968,832,61803,0.24993302975489062,0.39991427348049907,0.32161323683827603,0.5286118980437047,0.9691395775509728,0.9572753906250652
11171,TAFE_full,725,780,1040,62991,0.28487229865285374,0.4434250764696201,0.48172757478526723,0.41076487255463084,0.9877687350049588,0.9722290039062924
11174,Otsu,1377,33498,36,30625,0.03944315545518764,0.07589285714540372,0.039483870970496104,0.9745222929954337,0.47759774184071613,0.48831176757890576
11174,Adaptive,1368,21631,45,42492,0.05936469363366011,0.11207602818649812,0.05948084699743693,0.9681528662442921,0.6626639427355822,0.6692504882817547
11174,Canny,1289,10894,124,53229,0.10473714147148178,0.18961459253317434,0.10580316835667895,0.9122434536509382,0.8301077616458523,0.8318786621096316
11174,Blackhat,1365,10595,48,53528,0.1136742171959221,0.2041426755462189,0.11413043479001563,0.9660297239939115,0.834770675109033,0.8376007080080603
11174,UNet_no_TAFE,1237,1979,176,62144,0.36468160379231485,0.5344566861193679,0.38463930350172143,0.8754423213110091,0.9691374389844999,0.9671173095703627
11174,TAFE_channel,439,11,974,64112,0.30828651690250797,0.47128287710835837,0.9755555555609876,0.31068648270978866,0.9998284546886456,0.9849700927734605
11174,TAFE_spatial,1155,773,258,63350,0.5283623056025453,0.691409757566854,0.5990663900622891,0.8174097664672746,0.9879450431202721,0.9842681884765865
11174,TAFE_full,712,35,701,64088,0.4917127072174231,0.6592592592750344,0.953145917007611,0.5038924274944167,0.9994541740093267,0.9887695312500171
11194,Otsu,1164,27579,4,36789,0.04049118169186179,0.07783089833480046,0.04049681661955782,0.9965753424660466,0.5715417598813517,0.5791168212897048
